English,Deutsch
reckon,rechnen
recognition,Erkennung
reconstruction,Wiederaufbau
recount,erzählen
recovery,Erholung
recruit,rekrutieren
recruitment,Werbung
referee,Schiedsrichter
referendum,Referendum
reflection,Spiegelung
reform,Reform
refuge,Zuflucht
refugee,Flüchtling
refusal,Ablehnung
regain,wiedererlangen
regardless,egal
regime,Regime
registration,Anmeldung
regulate,regulieren
regulator,Regler
regulatory,regulatorische
rehabilitation,Rehabilitation
reign,regieren
reinforce,verstärken
rejection,Ablehnung
relevance,Relevanz
reliability,Zuverlässigkeit
relieve,entlasten
relieved,erleichtert
reluctant,widerwillig
remainder,Rest
remains,Überreste
remarkable,bemerkenswert
remarkably,bemerkenswert
remedy,Abhilfe
reminder,Erinnerung
removal,Entfernung
render,machen
renew,erneuern
renowned,renommierte
rental,Vermietung
replacement,Ersatz
reportedly,angeblich
reporting,Berichterstattung
representation,Darstellung
reproduce,reproduzieren
reproduction,Reproduktion
republic,Republik
resemble,ähneln
reside,wohnen
residence,Residenz
residential,Wohnen
residue,Rückstand
resign,zurücktreten
resignation,Rücktritt
resistance,Widerstand
resolution,Auflösung
respective,jeweiligen
respectively,jeweils
restoration,Wiederherstellung
restore,wiederherstellen
restraint,Zurückhaltung
restrict,beschränken
restriction,Beschränkung
resume,wieder aufnehmen
retail,Einzelhandel
retirement,Ruhestand
retreat,Rückzug
retrieve,abrufen
revelation,Offenbarung
revenge,Rache
revenue,Einnahmen
reverse,umkehren
revision,Revision
revival,Wiederbelebung
revive,beleben
revolutionary,revolutionär
rhetoric,Rhetorik
ridiculous,lächerlich
rifle,Gewehr
riot,Aufstand
rip,Ruhe in Frieden
risky,riskant
ritual,Ritual
rival,Rivale
rob,rauben
robbery,Raub
robust,robust
rock,Felsen
rocket,Rakete
rod,Stange
romance,Romantik
rose,Rose
rotate,drehen
rotation,Drehung
roughly,rund
ruin,Ruine
ruling,Urteil
rumour,Gerücht
sack,Sack
sacred,heilig
sacrifice,opfern
saint,Heilige
sake,willen
sanction,Sanktion
satisfaction,Zufriedenheit
say,sagen
scandal,Skandal
scare,Schrecken
scattered,verstreut
scenario,Szenario
sceptical,skeptisch
scholar,Gelehrte
scholarship,Stipendium
scope,Umfang
scratch,kratzen
screening,Screening
screw,schrauben
scrutiny,Prüfung
seal,Siegel
secular,weltlich
seeker,Sucher
seemingly,scheinbar
segment,Segment
seize,ergreifen
seldom,selten
selective,selektiv
seminar,Seminar
senator,Senator
sensation,Sensation
sensitivity,Empfindlichkeit
sentiment,Gefühl
separation,Trennung
serial,Seriennummer
set-up,aufstellen
settlement,Siedlung
settler,Siedler
severely,stark
sexuality,Sexualität
sexy,sexy
shaped,geformt
shareholder,Aktionär
shatter,zerschmettern
shed,Baracke
sheer,schiere
shipping,Versand
shocking,schockierend
shoot,schießen
shore,Ufer
short-term,kurzfristig
shortage,Mangel
shortly,kurz
shrink,schrumpfen
shrug,zucken
sibling,Geschwister
sigh,seufzen
signature,Unterschrift
significance,Bedeutung
simulate,simulieren
simulation,Simulation
simultaneously,gleichzeitig
sin,Sünde
situated,gelegen
sketch,skizzieren
skilled,Fachkräfte
skip,überspringen
skull,Schädel
slam,zuschlagen
slap,schlagen
slash,Schrägstrich
slavery,Sklaverei
slogan,Slogan
slot,Slot
smash,zerschlagen
snap,Schnappschuss
so-called,sogenannt
soak,einweichen
soar,steigen
socialist,sozialistisch
sole,"Sohle, einzig, alleinig"
solely,nur
solicitor,Rechtsanwalt
solidarity,Solidarität
solo,Solo
somehow,irgendwie
sometime,irgendwann
sophisticated,anspruchsvoll
sound,Klang
sovereignty,Souveränität
spam,Spam
span,Spanne
spare,Ersatzteil
spark,Funke
specialize,spezialisieren
specialized,spezialisiert
specification,Spezifikation
specify,angeben
specimen,Probe
spectacle,Schauspiel
spectacular,spektakulär
spectator,Zuschauer
spectrum,Spektrum
speculate,spekulieren
speculation,Spekulation
spell,Fluch
sphere,Kugel
spill,verschütten
spin,drehen
spine,Wirbelsäule
spite,Trotz
spoil,verderben
spokesman,Sprecher
spokesperson,Sprecher
spokeswoman,Sprecherin
sponsorship,Sponsoring
sporting,Sport
spotlight,Scheinwerfer
spouse,Ehepartner
spy,Spion
squad,Kader
squeeze,quetschen
stab,stechen
stability,Stabilität
stabilize,stabilisieren
stake,Einsatz
stall,Stall
stance,Haltung
standing,Stehen
stark,stark
starve,verhungern
statistical,statistische
steadily,ständig
steam,Dampf
steer,steuern
stem,Stängel
stereotype,Stereotyp
stimulate,stimulieren
stimulus,Stimulus
stir,Aufsehen
storage,Lagerung
straightforward,einfach
strain,Beanspruchung
strand,Strand
strategic,strategisch
strengthen,stärken
strictly,streng
striking,auffallend
strip,Streifen
strive,streben
stroke,Schlaganfall
structural,Strukturell
stumble,stolpern
stun,betäuben
stunning,atemberaubend
submission,Vorlage
subscriber,Teilnehmer
subscription,Abonnement
subsequent,anschließend
subsequently,anschließend
subsidy,Subvention
substantial,wesentlich
substantially,im Wesentlichen
substitute,Ersatz
substitution,Auswechslung
subtle,subtil
suburb,Vorort
suburban,Vorort-
succession,Folge
successive,aufeinanderfolgend
successor,Nachfolger
suck,saugen
sue,verklagen
suffering,leiden
sufficient,ausreichend
sufficiently,ausreichend
suicide,Selbstmord
suite,Suite
summit,Gipfel
super,super
superb,hervorragend
superior,Vorgesetzter
supervise,überwachen
supervision,Aufsicht
supervisor,Aufsicht
supplement,ergänzen
supportive,unterstützend
supposedly,angeblich
suppress,unterdrücken
supreme,höchste
surge,Anstieg
surgeon,Chirurg
surgical,chirurgisch
surplus,Überschuss
surrender,aufgeben
surveillance,Überwachung
survival,Überleben
survivor,Überlebende
suspend,aussetzen
suspension,Suspension
suspicion,Verdacht
suspicious,verdächtig
sustain,aufrechterhalten
sustainable,nachhaltig
swallow,schlucken
swing,Swing
sword,Schwert
symbolic,symbolisch
sympathetic,sympathisch
syndrome,Syndrom
synthesis,Synthese
systematic,systematisch
tackle,Tackle
tactic,Taktik
tactical,taktische
tag,Etikett
tap,klopfen
taxpayer,Steuerzahler
technological,technologisch
teens,Teenager
temple,Tempel
temporarily,vorübergehend
tempt,versuchen
tenant,Mieter
tendency,Tendenz
tender,zart
tension,Spannung
tenure,Amtszeit
terminal,Terminal
terminate,beenden
terms,Bedingungen
terrain,Terrain
terribly,schrecklich
terrific,ausgezeichnet
terrify,erschrecken
territory,Gebiet
terror,Terror
terrorism,Terrorismus
terrorist,Terrorist
testify,bezeugen
testimony,Zeugnis
testing,Testen
textbook,Lehrbuch
texture,Textur
thankfully,Gott sei Dank
theatrical,theatralisch
theft,Diebstahl
theology,Theologie
theoretical,theoretisch
therapist,Therapeut
thereafter,danach
thereby,dadurch
thesis,These
thorough,gründlich
thoroughly,gründlich
thought-provoking,zum Nachdenken anregend
thoughtful,nachdenklich
thread,Faden
threshold,Schwelle
thrilled,begeistert
thrive,gedeihen
thumb,Daumen
tide,Tide
tighten,anziehen
timber,Holz
timely,rechtzeitig
timing,Timing
tissue,Gewebe
tobacco,Tabak
tolerance,Toleranz
tolerate,tolerieren
toll,Maut
ton,Tonne
tonne,Tonne
top,Spitze
torture,Folter
toss,werfen
total,gesamt
tournament,Turnier
toxic,giftig
trace,verfolgen
trademark,Warenzeichen
trading,Handel
tragedy,Tragödie
tragic,tragisch
trail,Pfad
trailer,Anhänger
trait,Eigenschaft
transaction,Transaktion
transcript,Transkript
transformation,Transformation
transit,Transit
transmission,Übertragung
transmit,übertragen
transparency,Transparenz
transparent,transparent
transportation,Transport
trap,fangen
trauma,Trauma
treasure,Schatz
treaty,Vertrag
tremendous,enorm
tribal,Stammes
tribe,Stamm
tribunal,Gericht
tribute,Tribut
trigger,auslösen
trillion,Billion
trio,Trio
triumph,Triumph
troop,Truppe
trophy,Trophäe
troubled,beunruhigt
trustee,Treuhänder
tsunami,Tsunami
tuition,Unterricht
turnout,sich herausstellen
turnover,Umsatz
twist,Twist
ultimate,ultimative
unacceptable,inakzeptabel
uncertainty,Unsicherheit
undergo,unterziehen
undergraduate,Bachelor-Abschluss
underlying,zugrundeliegend
undermine,untergraben
undertake,übernehmen
undoubtedly,zweifellos
unfold,entfalten
unfortunate,bedauerlich
unify,vereinheitlichen
unite,vereinigen
unity,Einheit
universal,Universal-
unprecedented,beispiellos
unveil,enthüllen
upcoming,demnächst
upgrade,Upgrade
uphold,aufrechterhalten
urgent,dringend
usage,Verwendung
useless,nutzlos
utility,Dienstprogramm
utilize,nutzen
utterly,vollkommen
vacuum,Vakuum
vague,vage
valid,gültig
validity,Gültigkeit
vanish,verschwinden
variable,Variable
variation,Variation
varied,vielfältig
vein,Vene
venture,wagen
verbal,verbal
verdict,Urteil
verify,verifizieren
verse,Vers
versus,gegen
vertical,Vertikale
vessel,Schiff
veteran,Veteran
viable,lebensfähig
vibrant,lebendig
vice,Vize
vicious,bösartig
viewpoint,Standpunkt
villager,Dorfbewohner
violate,verletzen
violation,Verstoß
virtue,Tugend
visa,Visum
visible,sichtbar
vocal,Gesang
voluntary,freiwillig
voting,Wählen
vow,Gelübde
vulnerability,Schwachstelle
vulnerable,verletzlich
wander,wandern
ward,Station
warehouse,Lager
warfare,Krieg
warming,Erwärmen
warrant,Gewährleistung
warrior,Krieger
weaken,schwächen
weave,weben
weed,Unkraut
weekly,wöchentlich
weird,seltsam
welfare,Wohlfahrt
well,Also
well-being,Wohlbefinden
whatsoever,überhaupt
wheat,Weizen
whereby,wodurch
whilst,während
whip,Peitsche
whoever,wer auch immer
wholly,ganz
widen,erweitern
widespread,weit verbreitet
widow,Witwe
width,Breite
willingness,Bereitschaft
wipe,wischen
wisdom,Weisheit
wit,Witz
withdraw,zurückziehen
withdrawal,Rückzug
workforce,Belegschaft
workout,trainieren
workplace,Arbeitsplatz
workshop,Werkstatt
worm,Wurm
worship,Verehrung
worthwhile,lohnenswert
worthy,würdig
wrist,Handgelenk
yell,Schrei
yield,Ertrag
youngster,Jugendlicher
